,Ticker,Sector,Industry,Country
846,GRC,Industrials,Specialty Industrial Machinery,USA
847,ATO,Utilities,Utilities - Regulated Gas,USA
849,LEN,Consumer Cyclical,Residential Construction,USA
850,TAYD,Industrials,Specialty Industrial Machinery,USA
851,BALL,Consumer Cyclical,Packaging & Containers,USA
852,NOC,Industrials,Aerospace & Defense,USA
855,DOV,Industrials,Specialty Industrial Machinery,USA
859,AZZ,Industrials,Specialty Business Services,USA
860,SR,Utilities,Utilities - Regulated Gas,USA
862,ARW,Technology,Electronics & Computer Distribution,USA
868,MATX,Industrials,Marine Shipping,USA
870,TRMK,Financial,Banks - Regional,USA
871,J,Industrials,Engineering & Construction,USA
872,NVR,Consumer Cyclical,Residential Construction,USA
873,BBY,Consumer Cyclical,Specialty Retail,USA
881,BF-A,Consumer Defensive,Beverages - Wineries & Distilleries,USA
882,NEU,Basic Materials,Specialty Chemicals,USA
883,PFE,Healthcare,Drug Manufacturers - General,USA
887,ABM,Industrials,Specialty Business Services,USA
890,RGLD,Basic Materials,Gold,USA
893,DVN,Energy,Oil & Gas E&P,USA
895,WEYS,Consumer Cyclical,Footwear & Accessories,USA
897,RES,Energy,Oil & Gas Equipment & Services,USA
901,FHN,Financial,Banks - Regional,USA
902,EMR,Industrials,Specialty Industrial Machinery,USA
908,TCI,Real Estate,Real Estate Services,USA
909,CECO,Industrials,Pollution & Treatment Controls,USA
910,PBT,Energy,Oil & Gas Midstream,USA
919,HD,Consumer Cyclical,Home Improvement Retail,USA
921,AMAT,Technology,Semiconductor Equipment & Materials,USA
927,ESP,Industrials,Electrical Equipment & Parts,USA
930,DSGR,Industrials,Industrial Distribution,USA
933,WLY,Communication Services,Publishing,USA
936,ASA,Financial,Closed-End Fund - Equity,USA
938,WRB,Financial,Insurance - Property & Casualty,USA
943,WAFD,Financial,Banks - Regional,USA
944,CTO,Real Estate,REIT - Diversified,USA
946,CDE,Basic Materials,Gold,USA
948,CNA,Financial,Insurance - Property & Casualty,USA
949,UNF,Industrials,Specialty Business Services,USA
953,AIT,Industrials,Industrial Distribution,USA
954,HSY,Consumer Defensive,Confectioners,USA
955,BIO,Healthcare,Medical Devices,USA
960,OGE,Utilities,Utilities - Regulated Electric,USA
971,TKR,Industrials,Tools & Accessories,USA
976,WWW,Consumer Cyclical,Footwear & Accessories,USA
981,MTRN,Basic Materials,Other Industrial Metals & Mining,USA
986,NFG,Energy,Oil & Gas Integrated,USA
988,MNST,Consumer Defensive,Beverages - Non-Alcoholic,USA
992,CAT,Industrials,Farm & Heavy Construction Machinery,USA
993,UNP,Industrials,Railroads,USA
