,lag_1d,lag_5d,lag_21d,lag_63d,lag_252d
2020-09-02,0.9999854789412015,0.9996517301522807,0.9950862292079684,0.9481339210251604,
2020-09-03,0.999985393738494,0.9996467297572078,0.9948822219669421,0.9468246505703751,
2020-09-04,0.999985481551624,0.9996497102046303,0.9946320710049359,0.9454398746316985,
2020-09-08,0.999984065998737,0.9996348743939821,0.9943589049301835,0.9440189381826013,
2020-09-09,0.9999830686892455,0.9996339824481735,0.9940982695611993,0.9426350456211454,
2020-09-10,0.9999837203816244,0.9996239619146389,0.993807866595809,0.9412364849526165,
2020-09-11,0.9999823049776374,0.999602763571344,0.9934931400762133,0.9398678485210856,
2020-09-14,0.999980629608458,0.9995951826942817,0.9932361102637253,0.9386622180297216,
2020-09-15,0.9999800247896017,0.9995804546056131,0.9929816048367059,0.9375084327750582,
2020-09-16,0.9999798046480082,0.9995665836793177,0.9927740773406709,0.9364907943494183,
2020-09-17,0.9999803881124115,0.9995582382651436,0.9926105019352839,0.9355968100373075,
2020-09-18,0.9999801747682315,0.9995496812758274,0.9924929607130996,0.9348518839216435,
2020-09-21,0.9999803906569383,0.9995479187831242,0.992422053826688,0.9342266892389017,
2020-09-22,0.9999805567386625,0.9995476202798232,0.9923680310106506,0.9336424237755341,
2020-09-23,0.9999811804923736,0.9995453160821297,0.992319598461783,0.9330740751943023,
2020-09-24,0.9999810963344894,0.9995424633256726,0.9922795239851703,0.932522483280434,
2020-09-25,0.9999811695108826,0.9995402458451731,0.9922395759323895,0.9319603971497358,
2020-09-28,0.999981375927178,0.9995381785585813,0.992211351289189,0.9314010870510283,
2020-09-29,0.9999812894911477,0.9995349094466702,0.9921871183010457,0.9308293310000357,
2020-09-30,0.9999811547854833,0.999536223565505,0.9921656887385696,0.9302577024085341,
2020-10-01,0.9999811386522153,0.9995352645626313,0.9921502181759937,0.9296765738890028,
2020-10-02,0.999981015998061,0.9995342874452908,0.9921397602048952,,
2020-10-05,0.9999809277404389,0.9995326229379959,0.9921273867754044,,
2020-10-06,0.9999810269248505,0.9995312602891299,0.9921121614494952,,
2020-10-07,0.9999810042403243,0.9995312816933228,0.99212413353523,,
2020-10-08,0.9999809471014354,0.999531356471057,0.9921233251387571,,
2020-10-09,0.9999809094087997,0.9995310507112033,0.9921268755884477,,
2020-10-12,0.99998096506311,0.9995320787946727,0.9921366419924442,,
2020-10-13,0.9999808908314154,0.9995343975516973,0.9921206208981592,,
2020-10-14,0.9999810968156859,0.9995372116660868,0.9920962310287096,,
2020-10-15,0.9999811683970797,0.9995384601873687,0.9920545157543634,,
2020-10-16,0.9999813593881373,0.9995383907815929,0.9919979866377981,,
2020-10-19,0.9999814659352594,0.9995362948133976,0.9919444346086832,,
2020-10-20,0.9999814140540381,0.9995342866852421,0.9918824793355673,,
2020-10-21,0.9999813119199314,0.9995338359233351,0.9918153209832558,,
