portfolio,Ticker,beta_2019
peripheral fast,NTRA,1.8241296599259758
peripheral fast,NTRS,1.2713220412960493
peripheral fast,NXTG,0.9369795899450978
peripheral fast,OCFC,0.8219626465301447
peripheral fast,OCSL,0.4729470347682119
peripheral fast,PEY,0.7447066091886325
peripheral fast,PRN,0.9965455183603763
peripheral fast,PRPO,0.7764565408594698
peripheral fast,PSCI,1.147144681199365
peripheral fast,PSCM,1.2130076634475435
peripheral fast,PSCU,0.6898592464676278
peripheral fast,PSEC,0.6787274360138286
peripheral fast,PTF,1.4086028159026045
peripheral fast,PUI,0.27974339919367164
peripheral fast,RFDI,0.808535632947267
peripheral fast,RICK,1.0978790119010775
peripheral fast,RNEM,0.5716821720745221
peripheral fast,RPAY,0.37443419868988387
peripheral fast,SBRA,0.5523463552901244
peripheral fast,SNSR,1.2647537637902337
peripheral fast,UIVM,0.7603962205455624
peripheral fast,UPWK,1.0293601448077072
peripheral fast,USLM,0.3973078386838102
peripheral fast,VOD,0.7229197383571664
peripheral fast,VONG,1.1131340164192838
peripheral fast,VSDA,0.7321897974234772
peripheral fast,WDFC,0.6408754842393435
peripheral fast,WING,0.5933066440848762
peripheral fast,WTW,0.9374337487421185
peripheral fast,WYNN,1.8924146830526698
peripheral medium,AEHL,1.9699847486712097
peripheral medium,AMCX,0.7978577005997344
peripheral medium,AMSC,1.2809636415343613
peripheral medium,ARCC,0.6000168163380005
peripheral medium,ARTW,-0.17114592588504643
peripheral medium,ASTE,1.2888700473300563
peripheral medium,ATLO,0.6728491710592412
peripheral medium,BILI,1.5817304232512026
peripheral medium,BND,-0.09902483002895682
peripheral medium,BWFG,0.6776365133111631
peripheral medium,CACC,0.9802744621243052
peripheral medium,CBRL,0.4172772228130072
peripheral medium,CDNA,1.6632503538577064
peripheral medium,CHGX,1.0090216225635629
peripheral medium,CHI,0.6327252215800951
peripheral medium,CLBK,0.6439205082368965
peripheral medium,CMCO,1.4413779711623478
peripheral medium,COLM,0.9904048963445092
peripheral medium,COST,0.7105754761420902
peripheral medium,CSCO,1.2918799748051883
peripheral medium,CSQ,0.9088184164914572
peripheral medium,CTAS,0.9873542303697226
peripheral medium,CVBF,0.9582328009278699
peripheral medium,EBMT,0.11977823057251753
peripheral medium,ECOW,0.5280191769473163
peripheral medium,EEFT,0.9933619046724455
peripheral medium,EMCB,0.08116758081079899
peripheral medium,EVRG,0.12450723193941564
peripheral medium,EWBC,1.5244154936493313
peripheral medium,FCVT,0.5527596717592685
peripheral medium,FDTS,0.42889097382601793
peripheral medium,FGM,0.8595960405240305
peripheral medium,FGNX,0.3816237692063035
peripheral medium,FID,0.5031529947348198
peripheral medium,FIXD,-0.08600695839359548
peripheral medium,FLN,0.866714842178964
peripheral medium,FMB,-0.07164518186147102
peripheral medium,FNX,1.1356007352883535
peripheral medium,FOXA,0.7770074651500395
peripheral medium,FSFG,0.4078976688066363
peripheral medium,FTXH,0.6755179491340761
peripheral medium,FYC,1.1327582170878272
peripheral medium,GAIA,1.299226456647732
peripheral medium,GCBC,0.40115689535748045
peripheral medium,GNTX,0.8099447869344096
peripheral medium,HBT,1.010287600298602
peripheral medium,HERZ,0.8704286272255712
peripheral medium,HGBL,0.09818752284602235
peripheral medium,HNDL,0.22021764046082848
peripheral medium,HST,0.8857618143900051
peripheral medium,HTBK,0.9957818313359903
peripheral medium,HTLD,0.8829509727227808
peripheral medium,HURN,0.764715477807578
peripheral medium,HYLS,0.17166273417085778
peripheral medium,ICCC,0.5744698373213243
peripheral medium,IEUS,0.7502036341162324
peripheral medium,ILLR,0.007220176089939351
peripheral medium,ISBA,0.04375565996594013
peripheral medium,ISHP,0.7453169393062892
peripheral medium,KBWB,1.1240205566832557
peripheral medium,KBWD,0.6720979079604963
peripheral medium,KRMA,0.9809838190820238
peripheral medium,LFUS,1.4942223968861406
peripheral medium,LVHD,0.5600293363022885
peripheral medium,MBUU,1.4735252727124533
peripheral medium,MCRI,1.097892393818422
peripheral medium,MDLZ,0.5788073073127818
peripheral medium,MNKD,1.0846573138285553
peripheral medium,MNSB,0.29890929222045315
peripheral medium,MNST,0.9424025943941745
peripheral medium,MPB,1.0615309224858742
peripheral medium,NDSN,1.3248193202817682
peripheral medium,NWBI,0.5894850607653891
peripheral medium,NWE,0.35215439457877024
peripheral medium,NZAC,0.8869102986541081
peripheral medium,ODFL,1.1939328403399465
peripheral medium,ORKA,-0.13030175593770382
peripheral medium,OSBC,0.981171894165234
peripheral medium,OSW,0.27266759577613575
peripheral medium,OVLY,0.8872551631188953
peripheral medium,OXLC,0.38860885151929714
peripheral medium,PDBC,0.41299915913757484
peripheral medium,PENN,1.4170819854788126
peripheral medium,PEP,0.5354613859003498
peripheral medium,PFIS,0.7653186095538794
peripheral medium,PGJ,1.556003800920757
peripheral medium,PHO,0.90474601348711
peripheral medium,PPH,0.8445298693998844
peripheral medium,PSCH,1.156238421709063
peripheral medium,PTNQ,0.9369365358693561
peripheral medium,QQQ,1.2295119785014805
peripheral medium,QTEC,1.4942044750558825
peripheral medium,RBCAA,1.0855736778765193
peripheral medium,RGEN,1.6857852608065007
peripheral medium,RMNI,1.15185629225991
peripheral medium,ROAD,0.6244855733552029
peripheral medium,ROST,1.0283504385223836
peripheral medium,SAFT,0.8109553031031663
peripheral medium,SBUX,0.8134594217142908
peripheral medium,SCVL,1.2504071126083742
peripheral medium,SIMO,1.495840754809993
peripheral medium,SQQQ,-3.65813419160619
peripheral medium,STRR,0.275301266601891
peripheral medium,TAYD,0.03286726734590515
peripheral medium,TCBK,0.9123955407995945
peripheral medium,TLT,-0.43564140825421016
peripheral medium,TTWO,1.0921362940889343
peripheral medium,UAL,1.0897561477964492
peripheral medium,USTB,-0.03351096858249784
peripheral medium,VCSH,-0.04196944469246585
peripheral medium,VRSN,1.1884671467096481
peripheral medium,VSMV,0.6895657175544072
peripheral medium,VTHR,0.9851979152468046
peripheral medium,WHF,0.3350354706699238
peripheral medium,WINA,0.6921620408640958
