portfolio,Ticker,momentum12mo_2019
peripheral fast,CALM,0.02089369975981481
peripheral fast,CARZ,0.11369886954011732
peripheral fast,CDL,0.26373981036168215
peripheral fast,COLB,0.1641476370487127
peripheral fast,COMT,0.10815178283858651
peripheral fast,CPB,0.5519279554468353
peripheral fast,CYRX,0.4922936974576668
peripheral fast,DENN,0.22640347215129641
peripheral fast,DGRW,0.2954206379943405
peripheral fast,DRH,0.2976692333779407
peripheral fast,ENSG,0.25530476932138724
peripheral fast,ENZL,0.3008744077140282
peripheral fast,ERIC,0.0017085096904574382
peripheral fast,ERII,0.4546805251273698
peripheral fast,ESPO,0.4235439305237807
peripheral fast,EVO,0.29048453836131416
peripheral fast,FCBC,0.014243956106234856
peripheral fast,FER,0.562648119585099
peripheral fast,FEX,0.26926671214927644
peripheral fast,FHB,0.3326072975806793
peripheral fast,FIEE,-0.21333333333333337
peripheral fast,FJP,0.07725265724453778
peripheral fast,FKU,0.3290205659360197
peripheral fast,FNY,0.325375609075899
peripheral fast,FORM,0.8431511023500322
peripheral fast,FTGC,0.06399592288165179
peripheral fast,FYT,0.257962692813388
peripheral fast,GECC,0.12303973359623277
peripheral fast,GLPI,0.42879940883210876
peripheral fast,GSHD,0.6398917113842422
peripheral fast,HBAN,0.3174245058017411
peripheral fast,HBNC,0.2369428346800273
peripheral fast,IBRX,2.2672414404387724
peripheral fast,IDN,2.4999997214736362
peripheral fast,IFGL,0.20650492810105803
peripheral fast,IVAL,0.21260337988778977
peripheral fast,JBHT,0.2677045631286543
peripheral fast,KRNY,0.09902813752411577
peripheral fast,KTCC,-0.03716814771722865
peripheral fast,LAZR,
peripheral fast,LFVN,0.18347247646242915
peripheral fast,LOAN,0.21900281663254106
peripheral fast,LPRO,0.08102563711313104
peripheral fast,LULU,0.9050242332555776
peripheral fast,MANH,0.8822280389529489
peripheral fast,MASI,0.472105741970146
peripheral fast,MDB,0.5716503936918917
peripheral fast,MKTX,0.8066241935553595
peripheral fast,MU,0.6949257486741716
peripheral fast,NRIM,0.20597217792111788
peripheral fast,NTRA,1.4133236772670483
peripheral fast,NTRS,0.30585752970950786
peripheral fast,NXTG,0.2957676606274324
peripheral fast,OCFC,0.16699742193430955
peripheral fast,OCSL,0.38741535548428496
peripheral fast,PEY,0.2476395943555103
peripheral fast,PRN,0.34522054465899643
peripheral fast,PRPO,-0.11255412720925262
peripheral fast,PSCI,0.2980244788932378
peripheral fast,PSCM,0.2175140682165202
peripheral fast,PSCU,0.09671033312448207
peripheral fast,PSEC,0.13827831721945616
peripheral fast,PTF,0.4670590988374723
peripheral fast,PUI,0.20948218708066735
peripheral fast,RFDI,0.2046965001983474
peripheral fast,RICK,-0.07543397464691803
peripheral fast,RNEM,0.12756365419379811
peripheral fast,RPAY,0.47979799828569814
peripheral fast,SBRA,0.41142132345077775
peripheral fast,SNSR,0.4790352596556091
peripheral fast,UIVM,0.1528789354260367
peripheral fast,UPWK,-0.4108227655058697
peripheral fast,USLM,0.3503383997016243
peripheral fast,VOD,0.0570619013589313
peripheral fast,VONG,0.3605619747678679
peripheral fast,VSDA,0.31397653746997634
peripheral fast,WDFC,0.07417407085555339
peripheral fast,WING,0.34986369174796517
peripheral fast,WTW,0.34809795837463264
peripheral fast,WYNN,0.4499494600936387
peripheral medium,AEHL,-0.5555555555555556
peripheral medium,AMCX,-0.280247827419429
peripheral medium,AMSC,-0.2959641100268209
peripheral medium,ARCC,0.31297119237373305
peripheral medium,ARTW,-0.11500000953674316
peripheral medium,ASTE,0.40905800075720355
